,Anmerkung,BNetzA_ID,Baujahr,Betriebstand,Energietraeger,Grenzkosten,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung,Wirkungsgrad,Aktiv
59,Berechneter Zeitpunkt der Stillegung,BNA0879,1996.0,in Betrieb,Braunkohle,31.32,Ja,,Schkopau,450.0,E.ON Kraftwerke GmbH,2041,0.3657,A
60,Berechneter Zeitpunkt der Stillegung,BNA0439,1985.0,in Betrieb,Braunkohle,32.47,Nein,,Buschhaus,352.0,E.ON Kraftwerke GmbH,2030,0.3583,A
61,Berechneter Zeitpunkt der Stillegung,BNA1025,1965.0,in Betrieb,Braunkohle,32.99,Nein,,Weisweiler,312.0,RWE Power AG,2010,0.3546,A
62,Berechneter Zeitpunkt der Stillegung,BNA1026,1967.0,in Betrieb,Braunkohle,33.09,Nein,,Weisweiler,304.0,RWE Power AG,2012,0.3538,A
63,Berechneter Zeitpunkt der Stillegung,BNA0706,1971.0,in Betrieb,Braunkohle,33.16,Nein,,Niederaußem,299.0,RWE Power AG,2016,0.3533,A
64,Berechneter Zeitpunkt der Stillegung,BNA0705,1968.0,in Betrieb,Braunkohle,33.19,Nein,,Niederaußem,297.0,RWE Power AG,2013,0.3531,A
65,Berechneter Zeitpunkt der Stillegung,BNA0713,1970.0,in Betrieb,Braunkohle,33.22,Nein,,Niederaußem,295.0,RWE Power AG,2015,0.3529,A
66,Berechneter Zeitpunkt der Stillegung,BNA0712,1965.0,in Betrieb,Braunkohle,33.23,Nein,,Niederaußem,294.0,RWE Power AG,2010,0.3528,A
67,Berechneter Zeitpunkt der Stillegung,BNA0698,1973.0,in Betrieb,Braunkohle,33.26,Nein,,Neurath,292.0,RWE Power AG,2018,0.3526,A
68,Berechneter Zeitpunkt der Stillegung,BNA0697,1972.0,in Betrieb,Braunkohle,33.31,Nein,,Neurath,288.0,RWE Power AG,2017,0.3522,A
69,Berechneter Zeitpunkt der Stillegung,BNA0313,1966.0,in Betrieb,Braunkohle,33.37,Ja,,Frimmersdorf,284.0,RWE Power AG,2011,0.3517,A
70,Berechneter Zeitpunkt der Stillegung,BNA0314,1970.0,in Betrieb,Braunkohle,33.45,Nein,,Frimmersdorf,278.0,RWE Power AG,2015,0.3511,A
71,Berechneter Zeitpunkt der Stillegung,BNA0696,1972.0,in Betrieb,Braunkohle,33.47,Nein,,Neurath,277.0,RWE Power AG,2017,0.351,A
72,Berechneter Zeitpunkt der Stillegung,BNA0081,1981.0,in Betrieb,Braunkohle,35.29,Ja,,Klingenberg,164.0,Vattenfall Europe Wärme Aktiengesellschaft,2026,0.335,A
73,Berechneter Zeitpunkt der Stillegung,BNA0292,1959.0,in Betrieb,Braunkohle,36.25,Ja,,Frechen/Wachtberg,118.0,RWE Power AG,2004,0.325,A
74,Berechneter Zeitpunkt der Stillegung,BNA0179,1990.0,in Betrieb,Braunkohle,36.96,Ja,,HKW Chemnitz  Nord II,90.8,eins energie in sachsen GmbH & Co. KG,2035,0.3171,A
75,Berechneter Zeitpunkt der Stillegung,BNA0543,2010.0,in Betrieb,Braunkohle,37.45,Ja,,HKW Merkenich,75.3,RheinEnergie AG,2055,0.3114,A
76,Berechneter Zeitpunkt der Stillegung,BNA0183,1999.0,in Betrieb,Braunkohle,37.49,Ja,,HKW Cottbus,74.0,HKW Heizkraftwerksgesellschaft Cottbus mbH,2044,0.3108,A
77,Berechneter Zeitpunkt der Stillegung,BNA0196,1936.0,in Betrieb,Braunkohle,37.75,Ja,,Deuben,67.0,Mitteldeutsche Braunkohlengesellschaft mbH,1981,0.3078,A
78,Berechneter Zeitpunkt der Stillegung,BNA0177,1988.0,in Betrieb,Braunkohle,38.16,Ja,,HKW Chemnitz  Nord II,56.8,eins energie in sachsen GmbH & Co. KG,2033,0.3028,A
79,Berechneter Zeitpunkt der Stillegung,BNA0491,1991.0,in Betrieb,Braunkohle,38.38,Ja,,Ville/Berrenrath,52.0,RWE Power AG,2036,0.3001,A
80,Berechneter Zeitpunkt der Stillegung,BNA1486,1979.0,in Betrieb,Braunkohle,38.52,Ja,,Grubenheizkraftwerk,49.0,ROMONTA GmbH,2024,0.2983,A
81,Berechneter Zeitpunkt der Stillegung,BNA0194,1996.0,in Betrieb,Braunkohle,38.52,ja,,Kraftwerk Dessau,49.0,Kraftwerk Dessau GmbH,2041,0.2983,A
82,Berechneter Zeitpunkt der Stillegung,BNA0284,1997.0,in Betrieb,Braunkohle,38.73,Ja,GuD,Heizkraftwerk FFO,45.0,Stadtwerke Frankfurt (Oder) GmbH,2042,0.2957,A
83,Berechneter Zeitpunkt der Stillegung,BNA0523,1988.0,in Betrieb,Braunkohle,39.46,Ja,,FKK,33.5,Städtische Werke Energie + Wärme GmbH,2033,0.2868,A
84,Berechneter Zeitpunkt der Stillegung,BNA1002,1994.0,in Betrieb,Braunkohle,39.66,Ja,,Wählitz,31.0,Mitteldeutsche Braunkohlengesellschaft mbH,2039,0.2844,A
85,Berechneter Zeitpunkt der Stillegung,BNA1451,1962.0,in Betrieb,Braunkohle,39.96,Ja,,HKW Sachtleben,27.5,Sachtleben Chemie GmbH,2007,0.2808,A
86,Berechneter Zeitpunkt der Stillegung,BNA1164,2004.0,in Betrieb,Braunkohle,40.24,ja,,P&L Werk Jülich,24.6,Pfeifer & Langen Kommanditgesellschaft,2049,0.2774,A
87,Berechneter Zeitpunkt der Stillegung,BNA1185,1993.0,in Betrieb,Braunkohle,40.73,ja,,P&L Werk Könnern,20.3,Pfeifer & Langen Kommanditgesellschaft,2038,0.2715,A
88,Berechneter Zeitpunkt der Stillegung,BNA1400a,1993.0,in Betrieb,Braunkohle,40.98,Ja,,EZ1,18.5,"Südzucker AG Mannheim/Ochsenfurt, Werk Zeitz",2038,0.2687,A
89,Berechneter Zeitpunkt der Stillegung,BNA1461,2005.0,in Betrieb,Braunkohle,41.12,Ja,,,17.5,CropEnergies Bioethanol GmbH Zeitz,2050,0.267,A
90,Berechneter Zeitpunkt der Stillegung,BNA0714,1984.0,in Betrieb,Braunkohle,41.54,Ja,,Fortuna Nord,15.0,RWE Power AG,2029,0.2623,A
91,Berechneter Zeitpunkt der Stillegung,BNA1141,2013.0,in Betrieb,Braunkohle,41.63,Ja,,P&L Werk Euskirchen,14.5,Pfeifer & Langen Kommanditgesellschaft,2058,0.2613,A
92,Berechneter Zeitpunkt der Stillegung,BNA1097,2010.0,in Betrieb,Braunkohle,41.65,Ja,,Kohlekraftwerk,14.4,Smurfit Kappa Zülpich Papier GmbH,2055,0.2611,A
93,Berechneter Zeitpunkt der Stillegung,BNA1293b,1995.0,in Betrieb,Braunkohle,42.68,Ja,,Kraftwerk,10.0,Martinswerk GmbH,2040,0.25,A
94,Berechneter Zeitpunkt der Stillegung,BNA1511a,1983.0,in Betrieb,Braunkohle,42.89,Ja,,Kessel 4,9.3,"Papierfabrik Schoellershammer 
Heinrich August Schoeller Söhne GmbH & Co. KG",2028,0.2478,A
95,Berechneter Zeitpunkt der Stillegung,BNA0793,1987.0,in Betrieb,Steinkohle,50.95,Nein,,Heyden,875.0,E.ON Kraftwerke GmbH,2032,0.4143,A
96,Berechneter Zeitpunkt der Stillegung,BNA0434,1985.0,in Betrieb,Steinkohle,53.22,Ja,,Heizkraftwerk Heilbronn,778.0,EnBW Energie Baden-Württemberg AG,2030,0.3974,A
97,Berechneter Zeitpunkt der Stillegung,BNA0413c,2014.0,in Betrieb,Steinkohle,53.46,Nein,,Westfalen,765.0,RWE Generation SE,2059,0.3959,A
98,Berechneter Zeitpunkt der Stillegung,BNA1061,1976.0,in Betrieb,Steinkohle,53.6,Nein,,Wilhelmshaven,757.0,E.ON Kraftwerke GmbH,2021,0.395,A
99,Berechneter Zeitpunkt der Stillegung,BNA1508,2013.0,in Betrieb,Steinkohle,53.81,Ja,,Trianel Kohlekraftwerk Lünen,746.0,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,2058,0.3937,A
100,Berechneter Zeitpunkt der Stillegung,BNA0216b,2013.0,in Betrieb,Steinkohle,54.2,Nein,,KW Walsum,725.0,Steag GmbH,2058,0.3912,A
101,Berechneter Zeitpunkt der Stillegung,BNA0093,1983.0,in Betrieb,Steinkohle,54.28,Nein,,Kraftwerk Bexbach,721.0,EnBW Energie Baden-Württemberg AG,2028,0.3907,A
102,Berechneter Zeitpunkt der Stillegung,BNA0067,1981.0,in Betrieb,Steinkohle,54.35,Ja,,Bergkamen,717.0,RWE Generation SE,2026,0.3903,A
103,Berechneter Zeitpunkt der Stillegung,BNA0992,1985.0,in Betrieb,Steinkohle,54.77,Nein,,KW Voerde,695.0,Steag GmbH,2030,0.3877,A
104,Berechneter Zeitpunkt der Stillegung,BNA0991,1982.0,in Betrieb,Steinkohle,54.77,Nein,,KW Voerde,695.0,Steag GmbH,2027,0.3877,A
105,Berechneter Zeitpunkt der Stillegung,BNA0464,1979.0,in Betrieb,Steinkohle,54.87,Nein,,KWM,690.0,Stadtwerke Hannover AG,2024,0.3871,A
106,Von der BNetzA Terminiert,BNA0335,1979.0,in Betrieb,Steinkohle,55.14,Nein,,Scholven,676.0,E.ON Kraftwerke GmbH,2014,0.3855,A
107,Berechneter Zeitpunkt der Stillegung,BNA0820,1976.0,in Betrieb,Steinkohle,55.54,ja,,Weiher,655.6,STEAG Power Saar GmbH,2021,0.3831,A
108,Berechneter Zeitpunkt der Stillegung,BNA1046a,1984.0,in Betrieb,Steinkohle,56.5,Nein,,Gersteinwerk,607.5,RWE Generation SE,2029,0.3775,A
109,Berechneter Zeitpunkt der Stillegung,BNA0377,1992.0,in Betrieb,Steinkohle,58.54,Ja,,Staudinger,510.0,E.ON Kraftwerke GmbH,2037,0.366,A
110,Berechneter Zeitpunkt der Stillegung,BNA0849,1994.0,in Betrieb,Steinkohle,58.58,Ja,,KNG Kraftwerk Rostock,508.0,EnBW Energie Baden-Württemberg AG,2039,0.3658,A
111,Berechneter Zeitpunkt der Stillegung,BNA0518a,1985.0,in Betrieb,Steinkohle,58.65,Ja,,Rheinhafen-Dampfkraftwerk,505.0,EnBW Energie Baden-Württemberg AG,2030,0.3654,A
112,Berechneter Zeitpunkt der Stillegung,BNA1093,1986.0,in Betrieb,Steinkohle,59.37,Ja,,Zolling,472.0,GDF SUEZ Energie Deutschland AG,2031,0.3616,A
113,Berechneter Zeitpunkt der Stillegung,BNA0450,1989.0,in Betrieb,Steinkohle,59.88,Ja,,KW Herne,449.0,Steag GmbH,2034,0.3589,A
114,Berechneter Zeitpunkt der Stillegung,BNA0646,1993.0,in Betrieb,Steinkohle,60.2,Ja,,GKM ,435.0,Grosskraftwerk Mannheim AG,2038,0.3572,A
115,Berechneter Zeitpunkt der Stillegung,BNA0020,1985.0,in Betrieb,Steinkohle,60.24,Ja,,Heizkraftwerk Altbach/Deizisau,433.0,EnBW Energie Baden-Württemberg AG,2030,0.357,A
116,Berechneter Zeitpunkt der Stillegung,BNA0645,1982.0,in Betrieb,Steinkohle,60.42,Ja,,GKM ,425.0,Grosskraftwerk Mannheim AG,2027,0.3561,A
117,Berechneter Zeitpunkt der Stillegung,BNA0216a,1988.0,in Betrieb,Steinkohle,61.69,Ja,,KW Walsum,370.0,Steag GmbH,2033,0.3496,A
118,Berechneter Zeitpunkt der Stillegung,BNA0147,1969.0,in Betrieb,Steinkohle,62.17,Nein,,Farge,350.0,GDF SUEZ Energie Deutschland AG,2014,0.3473,A
119,Von der BNetzA Terminiert,BNA0203,1971.0,in Betrieb,Steinkohle,62.29,Ja,,Knepper,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
120,Von der BNetzA Terminiert,BNA0333,1970.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
121,Berechneter Zeitpunkt der Stillegung,BNA0331,1969.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
122,Berechneter Zeitpunkt der Stillegung,BNA0332,1968.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2013,0.3467,A
123,Von der BNetzA Terminiert,BNA0334,1971.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
124,Berechneter Zeitpunkt der Stillegung,BNA0019,1997.0,in Betrieb,Steinkohle,62.5,Ja,,Heizkraftwerk Altbach/Deizisau,336.0,EnBW Energie Baden-Württemberg AG,2042,0.3457,A
125,Berechneter Zeitpunkt der Stillegung,BNA0969b,1991.0,in Betrieb,Steinkohle,62.57,Ja,,Nord 2,333.0,SWM Services GmbH,2036,0.3453,A
126,Berechneter Zeitpunkt der Stillegung,BNA0619,1969.0,in Betrieb,Steinkohle,62.79,Ja,,KW Lünen,324.0,Steag GmbH,2014,0.3442,A
127,Von der BNetzA Terminiert,BNA0526,1970.0,in Betrieb,Steinkohle,62.82,Ja,,Gemeinschaftskraftwerk Kiel,323.0,Gemeinschaftskraftwerk Kiel GmbH,2015,0.3441,N
128,Berechneter Zeitpunkt der Stillegung,BNA0990,1971.0,in Betrieb,Steinkohle,62.84,Nein,,KW West,322.0,Steag GmbH,2016,0.344,N
129,Berechneter Zeitpunkt der Stillegung,BNA0989,1971.0,in Betrieb,Steinkohle,62.94,Nein,,KW West,318.0,Steag GmbH,2016,0.3435,N
130,Berechneter Zeitpunkt der Stillegung,BNA1037,1982.0,in Betrieb,Steinkohle,63.13,,,Kraftwerk Werdohl-Elverlingsen,310.0,Mark-E AG,2027,0.3426,N
131,Von der BNetzA Terminiert,BNA0813,1970.0,in Betrieb,Steinkohle,63.3,Nein,,Kraftwerk Veltheim,303.0,Gemeinschaftskraftwerk Veltheim GmbH,2015,0.3418,N
132,Berechneter Zeitpunkt der Stillegung,BNA0146,1979.0,in Betrieb,Steinkohle,63.38,Ja,,KW Hafen,300.0,swb Erzeugung GmbH & Co. KG,2024,0.3414,N
133,Berechneter Zeitpunkt der Stillegung,BNA0413a,1969.0,in Betrieb,Steinkohle,63.77,Nein,,Westfalen,284.0,RWE Generation SE,2014,0.3396,N
134,Berechneter Zeitpunkt der Stillegung,BNA0252,1971.0,in Betrieb,Steinkohle,63.8,Nein,,Kraftwerk Ensdorf,283.0,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF),2016,0.3394,N
135,Berechneter Zeitpunkt der Stillegung,BNA0087,1988.0,in Betrieb,Steinkohle,63.82,Ja,,Reuter West,282.0,Vattenfall Europe Wärme AG,2033,0.3393,N
136,Berechneter Zeitpunkt der Stillegung,BNA0086,1987.0,in Betrieb,Steinkohle,63.82,Ja,,Reuter West,282.0,Vattenfall Europe Wärme AG,2032,0.3393,N
137,Berechneter Zeitpunkt der Stillegung,BNA0449,1966.0,in Betrieb,Steinkohle,63.87,Ja,,KW Herne,280.0,Steag GmbH,2011,0.3391,N
138,Berechneter Zeitpunkt der Stillegung,BNA0644,2005.0,in Betrieb,Steinkohle,64.5,Ja,,GKM ,255.0,Grosskraftwerk Mannheim AG,2050,0.3362,N
139,Von der BNetzA Terminiert,BNA0643,1970.0,in Betrieb,Steinkohle,65.85,Ja,,GKM ,202.5,Grosskraftwerk Mannheim AG,2015,0.33,KWK
140,Berechneter Zeitpunkt der Stillegung,BNA0402,1993.0,in Betrieb,Steinkohle,66.07,Ja,,Tiefstack,194.0,Vattenfall Europe Wärme Aktiengesellschaft,2038,0.329,KWK
141,Berechneter Zeitpunkt der Stillegung,BNA0998,1982.0,in Betrieb,Steinkohle,66.47,ja,,Modellkraftwerk,179.0,STEAG Power Saar GmbH,2027,0.3273,KWK
142,Berechneter Zeitpunkt der Stillegung,BNA0618,1962.0,in Betrieb,Steinkohle,67.27,Nein,,KW Lünen,149.0,Steag GmbH,2007,0.3237,N
143,Berechneter Zeitpunkt der Stillegung,BNA1076b,1985.0,in Betrieb,Steinkohle,67.56,Ja,,HKW West,138.5,Volkswagen AG,2030,0.3225,N
144,Berechneter Zeitpunkt der Stillegung,BNA1076a,1985.0,in Betrieb,Steinkohle,67.56,Ja,,HKW West,138.5,Volkswagen AG,2030,0.3225,KWK
145,Berechneter Zeitpunkt der Stillegung,BNA0404,1961.0,in Betrieb,Steinkohle,67.6,Ja,,Wedel,137.0,Vattenfall Europe Wärme AG,2006,0.3223,KWK
146,Berechneter Zeitpunkt der Stillegung,BNA0420,1989.0,in Betrieb,Steinkohle,67.62,Ja,,GKH,136.0,Stadtwerke Hannover AG,2034,0.3222,N
