,Anmerkung,BNetzA_ID,Baujahr,Betriebstand,Energietraeger,Grenzkosten,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung,Wirkungsgrad,Aktiv
112,Berechneter Zeitpunkt der Stillegung,BNA0100,2005.0,in Betrieb,Erdgas,71.28,ja,GuD,GuD Kraftwerk Hillegossen,37.45,Stadtwerke Bielefeld GmbH,--,0.4809,A
113,Berechneter Zeitpunkt der Stillegung,BNA0595,1994.0,in Betrieb,Erdgas,71.29,Ja,GuD,ILK-GuD,37.0,InfraLeuna GmbH,--,0.4808,A
114,Berechneter Zeitpunkt der Stillegung,BNA0594,1994.0,in Betrieb,Erdgas,71.34,Ja,GuD,ILK-GuD,35.0,InfraLeuna GmbH,--,0.4806,A
115,Berechneter Zeitpunkt der Stillegung,BNA0593,1994.0,in Betrieb,Erdgas,71.34,Ja,GuD,ILK-GuD,35.0,InfraLeuna GmbH,--,0.4806,KWK
116,Berechneter Zeitpunkt der Stillegung,BNA0544,1994.0,in Betrieb,Erdgas,71.34,Ja,GuD,HKW Südstadt,35.0,RheinEnergie AG,--,0.4806,A
117,Berechneter Zeitpunkt der Stillegung,BNA0261a,2005.0,in Betrieb,Erdgas,71.64,Ja,GuD,HKW Erlangen,21.6,Erlanger Stadtwerke AG,--,0.4789,N
118,Berechneter Zeitpunkt der Stillegung,BNA1183,2001.0,in Betrieb,Erdgas,71.77,Ja,GuD,HKW Merheim,15.8,RheinEnergie AG,--,0.4781,N
119,Berechneter Zeitpunkt der Stillegung,BNA1196b,2003.0,in Betrieb,Erdgas,71.86,Ja,GuD,Industriekraftwerk Ludwigshafen,11.96,MVV Energie AG,--,0.4776,N
120,Berechneter Zeitpunkt der Stillegung,BNA0994,2010.0,in Betrieb,Erdgas,78.84,Nein,,Gemeinschaftskraftwerk Irsching ,236.72199999999975,Gemeinschaftskraftwerk Irsching GmbH,2050,0.4077,N
121,Von der BNetzA Terminiert,BNA0378,1973.0,in Betrieb,Mineralölprodukte,158.44,Ja,,Ingolstadt,386.0,E.ON Kraftwerke GmbH,2015,0.35,N
122,Von der BNetzA Terminiert,BNA0379,1974.0,in Betrieb,Mineralölprodukte,158.44,Ja,,Ingolstadt,386.0,E.ON Kraftwerke GmbH,2015,0.35,N
123,Berechneter Zeitpunkt der Stillegung,BNA1004,1981.0,in Betrieb,Mineralölprodukte,159.73,Nein,,Kraftwerk Walheim,136.0,EnBW Energie Baden-Württemberg AG,2026,0.35,N
124,Berechneter Zeitpunkt der Stillegung,BNA0373,1994.0,in Betrieb,Mineralölprodukte,159.82,Nein,,Spitzenlastkraftwerk Großkayna,120.0,envia THERM GmbH,2039,0.35,N
125,Berechneter Zeitpunkt der Stillegung,BNA0894d,1998.0,in Betrieb,Mineralölprodukte,159.9,Ja,,IKS PCK Schwedt,48.3599999999999,PCK Raffinerie GmbH,2043,0.35,N
