BNetzA_ID,Anmerkung,Baujahr,Betriebstand,Energietraeger,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung
BNA1028,Berechneter Zeitpunkt der Stillegung,1975,in Betrieb,Braunkohle,Ja,,Weisweiler,592.0,RWE Power AG,2020
BNA1031,"Keine Stillegung, da KWK-Betrieb",1967,in Betrieb,Pumpspeicher,Nein,,Wendefurth,79.7,Vattenfall Europe Generation AG,--
BNA1032,"Keine Stillegung, da KWK-Betrieb",1968,in Betrieb,Pumpspeicher,Nein,,Wendefurth,,Vattenfall Europe Generation AG,--
BNA1036,Berechneter Zeitpunkt der Stillegung,1975,vorläufig stillgelegt,Mineralölprodukte,nan,,Kraftwerk Werdohl-Elverlingsen,206.0,Mark-E AG,2020
BNA1037,Berechneter Zeitpunkt der Stillegung,1982,in Betrieb,Steinkohle,nan,,Kraftwerk Werdohl-Elverlingsen,310.0,Mark-E AG,2027
BNA1039,Berechneter Zeitpunkt der Stillegung,1973,in Betrieb,Erdgas,Nein,,Gersteinwerk,55.0,RWE Generation SE,2013
BNA1040,Berechneter Zeitpunkt der Stillegung,1973,in Betrieb,Erdgas,Nein,,Gersteinwerk,55.0,RWE Generation SE,2013
BNA1041,Berechneter Zeitpunkt der Stillegung,1973,in Betrieb,Erdgas,Nein,,Gersteinwerk,55.0,RWE Generation SE,2013
BNA1042,Berechneter Zeitpunkt der Stillegung,1973,in Betrieb,Erdgas,Nein,,Gersteinwerk,55.0,RWE Generation SE,2013
BNA1043,Berechneter Zeitpunkt der Stillegung,1973,vorläufig stillgelegt,Erdgas,Nein,,Gersteinwerk,355.0,RWE Generation SE,2013
BNA1044,Berechneter Zeitpunkt der Stillegung,1973,vorläufig stillgelegt,Erdgas,Nein,,Gersteinwerk,355.0,RWE Generation SE,2013
BNA1045,Berechneter Zeitpunkt der Stillegung,1973,vorläufig stillgelegt,Erdgas,Nein,,Gersteinwerk,355.0,RWE Generation SE,2013
BNA1046a,Berechneter Zeitpunkt der Stillegung,1984,in Betrieb,Steinkohle,Nein,,Gersteinwerk,607.5,RWE Generation SE,2029
BNA1046b,Berechneter Zeitpunkt der Stillegung,1984,in Betrieb,Erdgas,Nein,,Gersteinwerk,112.0,RWE Generation SE,2024
BNA1056,Berechneter Zeitpunkt der Stillegung,2006,in Betrieb,Erdgas,Ja,,Wi-Biebrich,25.015,InfraServ GmbH & Co. Wiesbaden KG,--
BNA1060,Berechneter Zeitpunkt der Stillegung,1973,in Betrieb,Mineralölprodukte,Nein,,Wilhelmshaven,56.0,E.ON Kraftwerke GmbH,2018
BNA1061,Berechneter Zeitpunkt der Stillegung,1976,in Betrieb,Steinkohle,Nein,,Wilhelmshaven,757.0,E.ON Kraftwerke GmbH,2021
BNA1066,"Keine Stillegung, da KWK-Betrieb",1965,in Betrieb,Laufwasser,Nein,,Wintrich,20.0,RWE Innogy GmbH,--
BNA1071,"Keine Stillegung, da KWK-Betrieb",1943,in Betrieb,Pumpspeicher,Nein,,Witznau,220.0,Schluchseewerk Aktiengesellschaft,--
BNA1074,Berechneter Zeitpunkt der Stillegung,1997,in Betrieb,Erdgas,Nein,,Spitzenlastkraftwerk Wolfen,40.0,envia THERM GmbH,2037
BNA1075a,Berechneter Zeitpunkt der Stillegung,2000,in Betrieb,Steinkohle,Ja,,HKW Nord,61.5,Volkswagen AG,2045
BNA1075b,Berechneter Zeitpunkt der Stillegung,2000,in Betrieb,Steinkohle,Ja,,HKW Nord,61.5,Volkswagen AG,2045
BNA1076a,Berechneter Zeitpunkt der Stillegung,1985,in Betrieb,Steinkohle,Ja,,HKW West,138.5,Volkswagen AG,2030
BNA1076b,Berechneter Zeitpunkt der Stillegung,1985,in Betrieb,Steinkohle,Ja,,HKW West,138.5,Volkswagen AG,2030
BNA1078,Berechneter Zeitpunkt der Stillegung,2008,in Betrieb,Erdgas,Ja,,HKW Wörth,59.0,Palm Power GmbH & Co. KG,--
BNA1082,Berechneter Zeitpunkt der Stillegung,2005,in Betrieb,Erdgas,Ja,,HKW Barmen,82.0,WSW Energie & Wasser AG,--
BNA1083,Berechneter Zeitpunkt der Stillegung,2008,in Betrieb,Mineralölprodukte,Nein,,Spitzenlastanlage Barmen,60.0,WSW Energie & Wasser AG,2053
BNA1084,Berechneter Zeitpunkt der Stillegung,1989,in Betrieb,Steinkohle,Ja,,HKW Elberfeld ,85.0,WSW Energie & Wasser AG,2034
BNA1085,Berechneter Zeitpunkt der Stillegung,1971,in Betrieb,Erdgas,Ja,,Heizkraftwerke an der Friedensbrücke,23.0,Heizkraftwerk Würzburg GmbH,--
BNA1086,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Erdgas,Ja,,Heizkraftwerke an der Friedensbrücke,25.0,Heizkraftwerk Würzburg GmbH,--
BNA1087,Berechneter Zeitpunkt der Stillegung,2009,in Betrieb,Erdgas,Ja,,Heizkraftwerke an der Friedensbrücke,29.5,Heizkraftwerk Würzburg GmbH,--
BNA1088,Berechneter Zeitpunkt der Stillegung,2005,in Betrieb,Erdgas,Ja,,Heizkraftwerke an der Friedensbrücke,44.5,Heizkraftwerk Würzburg GmbH,--
BNA1089,Berechneter Zeitpunkt der Stillegung,1996,in Betrieb,Erdgas,Ja,,Zielitz,52.0,K+S AG,--
BNA1092,Berechneter Zeitpunkt der Stillegung,1976,in Betrieb,Mineralölprodukte,Nein,,Zolling,46.0,GDF SUEZ Energie Deutschland AG,2021
BNA1093,Berechneter Zeitpunkt der Stillegung,1986,in Betrieb,Steinkohle,Ja,,Zolling,472.0,GDF SUEZ Energie Deutschland AG,2031
BNA1094,Berechneter Zeitpunkt der Stillegung,1966,in Betrieb,Erdgas,Ja,,Gaskraftwerk,15.1,Smurfit Kappa Zülpich Papier GmbH,--
BNA1097,Berechneter Zeitpunkt der Stillegung,2010,in Betrieb,Braunkohle,Ja,,Kohlekraftwerk,14.4,Smurfit Kappa Zülpich Papier GmbH,2055
BNA1102,,1965,in Betrieb,Speicherwasser (ohne Pumpspeicher),Nein,,Bigge,15.0,Lister- und Lennekraftwerke GmbH,
BNA1103,Berechneter Zeitpunkt der Stillegung,1966,in Betrieb,Erdgas,Ja,,UPM Augsburg,29.0,UPM GmbH,--
BNA1104,Berechneter Zeitpunkt der Stillegung,1976,in Betrieb,Erdgas,Ja,,Heizkraftwerk,18.0,Stadtwerke Augsburg Energie GmbH,--
BNA1105,Berechneter Zeitpunkt der Stillegung,1994,in Betrieb,Erdgas,Ja,,HKW Bad Salzungen,9.7,Thüringer Energie AG,--
BNA1108,"Keine Stillegung, da KWK-Betrieb",2010,in Betrieb,Abfall,ja,,PD energy GmbH,9.9,PD energy GmbH,--
BNA1110,"Keine Stillegung, da KWK-Betrieb",1999,in Betrieb,Abfall,ja,,Restmüllheizkraftwerk Böblingen,9.5,Zweckverband Restmüllheizkraftwerk Böblingen,--
BNA1114,"Keine Stillegung, da KWK-Betrieb",2012,in Betrieb,Abfall,Ja,,MHKW,44.0,swb Entsorgung GmbH & Co. KG,--
BNA1115,,2010,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",ja,,Gichtgaskraftwerk Dillingen,85.0,"Aktien-Gesellschaft der Dillinger Hüttenwerke, ROGESA Roheisengesellschaft Saar mbH und Zentralkokerei Saar GmbH, als Bruchteilsgemeinschaft",
BNA1116,"Keine Stillegung, da KWK-Betrieb",1977,in Betrieb,Abfall,ja,,BEG,14.0,Bremerhavener Entsorgungsgesellschaft mbH,--
BNA1117,Berechneter Zeitpunkt der Stillegung,1999,in Betrieb,Erdgas,Ja,,Industriekraftwerk Breuberg,11.4,Industriekraftwerk Breuberg GmbH,--
BNA1118,"Keine Stillegung, da KWK-Betrieb",1967,in Betrieb,Laufwasser,Nein,,Dessau,10.3,E.ON Kraftwerke GmbH,--
BNA1119,"Keine Stillegung, da KWK-Betrieb",1994,in Betrieb,Abfall,Nein,,MHKW Burgkirchen,12.5,Zweckverband Abfallverwertung Südostbayern,--
BNA1120,Berechneter Zeitpunkt der Stillegung,1991,in Betrieb,Erdgas,Ja,,Energiezentrale,10.2,RÜTGERS InfraTec GmbH,--
BNA1121,Berechneter Zeitpunkt der Stillegung,2005,in Betrieb,Erdgas,Ja,,Energiezentrale,0.88,RÜTGERS InfraTec GmbH,--
BNA1125,Berechneter Zeitpunkt der Stillegung,1999,in Betrieb,Erdgas,Ja,,Heizkraftwerk,10.0,Merck KGaA,--
BNA1126,"Keine Stillegung, da KWK-Betrieb",1927,in Betrieb,Laufwasser,Nein,,Dettingen,11.0,EnBW Energie Baden-Württemberg AG,--
BNA1127,Von der BNetzA Terminiert,1998,in Betrieb,Erdgas,Ja,,GHD,6.7,GHD Bayernwerk Natur GmbH & Co. KG,2016
BNA1128,Von der BNetzA Terminiert,1998,in Betrieb,Erdgas,Ja,,GHD,6.7,GHD Bayernwerk Natur GmbH & Co. KG,2016
BNA1129,"Keine Stillegung, da KWK-Betrieb",1957,in Betrieb,Laufwasser,Nein,,Dingolfing,15.0,E.ON Kraftwerke GmbH,--
BNA1131,Berechneter Zeitpunkt der Stillegung,2011,in Betrieb,Erdgas,Ja,,"MT, Düren",13.96,Metsä Tissue GmbH Werk Düren,--
BNA1134,"Keine Stillegung, da KWK-Betrieb",1925,in Betrieb,Laufwasser,Nein,,Eitting,26.0,E.ON Kraftwerke GmbH,--
BNA1135,"Keine Stillegung, da KWK-Betrieb",1963,in Betrieb,Laufwasser,Nein,,Fankel,16.4,RWE Innogy GmbH,--
BNA1136,"Keine Stillegung, da KWK-Betrieb",1952,in Betrieb,Laufwasser,Nein,,Ellgau,9.7,Rhein-Main-Donau AG,--
BNA1137,"Keine Stillegung, da KWK-Betrieb",1966,in Betrieb,Laufwasser,Nein,,Enkirch,18.4,RWE Innogy GmbH,--
BNA1138,Berechneter Zeitpunkt der Stillegung,2000,in Betrieb,Erdgas,Ja,,BHKW an Klinkerweg,10.2,Stadtwerke Erkrath GmbH,--
BNA1139,"Keine Stillegung, da KWK-Betrieb",2005,in Betrieb,Abfall,Ja,,TREA Breisgau,13.6,EEW Energy from Waste Saarbrücken GmbH,--
BNA1140,"Keine Stillegung, da KWK-Betrieb",1951,in Betrieb,Laufwasser,Nein,,Altheim,17.8,E.ON Kraftwerke GmbH,--
BNA1141,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Braunkohle,Ja,,P&L Werk Euskirchen,14.5,Pfeifer & Langen Kommanditgesellschaft,2058
BNA1143,"Keine Stillegung, da KWK-Betrieb",1985,in Betrieb,Laufwasser,Nein,,Serrig,12.1,RWE Innogy GmbH,--
BNA1144,"Keine Stillegung, da KWK-Betrieb",2009,in Betrieb,Abfall,Ja,,EEW Göppingen,11.0,EEW Energy from Waste Göppingen GmbH,--
BNA1148,"Keine Stillegung, da KWK-Betrieb",1985,in Betrieb,Abfall,ja,,MVA Hamm,14.58,MHB Hamm Betriebsführungsgesellschaft mbH,--
BNA1151,Berechneter Zeitpunkt der Stillegung,2002,in Betrieb,Erdgas,Ja,,KWKK Heidelberg,13.5,RWE Innogy GmbH,--
BNA1152,"Keine Stillegung, da KWK-Betrieb",1938,in Betrieb,Laufwasser,Nein,,Schwammenauel,14.0,RWE Innogy GmbH,--
BNA1153,"Keine Stillegung, da KWK-Betrieb",1905,in Betrieb,Laufwasser,Nein,,Heimbach,16.0,RWE Innogy GmbH,--
BNA1154,"Keine Stillegung, da KWK-Betrieb",1982,in Betrieb,Abfall,Ja,,RZR Herten I,12.5,AGR Abfallentsorgungsgesellschaft Ruhrgebiet mbH,--
BNA1155,"Keine Stillegung, da KWK-Betrieb",2009,in Betrieb,Abfall,Nein,,RZR Herten II,17.1,AGR Abfallentsorgungsgesellschaft Ruhrgebiet mbH,--
BNA1157,"Keine Stillegung, da KWK-Betrieb",1982,in Betrieb,Laufwasser,Nein,,Höchstädt,10.0,Mittlere Donau Kraftwerke AG,--
