BNetzA_ID,Anmerkung,Baujahr,Betriebstand,Energietraeger,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung
BNA0306,Berechneter Zeitpunkt der Stillegung,1960,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,132.0,RWE Power AG,2005
BNA0307,Berechneter Zeitpunkt der Stillegung,1960,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,128.0,RWE Power AG,2005
BNA0308,Berechneter Zeitpunkt der Stillegung,1962,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,136.0,RWE Power AG,2007
BNA0309,Berechneter Zeitpunkt der Stillegung,1964,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,135.0,RWE Power AG,2009
BNA0310,Berechneter Zeitpunkt der Stillegung,1962,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,138.0,RWE Power AG,2007
BNA0311,Berechneter Zeitpunkt der Stillegung,1962,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,131.0,RWE Power AG,2007
BNA0312,Berechneter Zeitpunkt der Stillegung,1964,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,133.0,RWE Power AG,2009
BNA0375,Berechneter Zeitpunkt der Stillegung,1965,Endgültig Stillgelegt 2013,Steinkohle,Ja,,Staudinger,249.0,E.ON Kraftwerke GmbH,2010
BNA0376,Berechneter Zeitpunkt der Stillegung,1970,Endgültig Stillgelegt 2012,Steinkohle,Nein,,Staudinger,293.0,E.ON Kraftwerke GmbH,2015
BNA0414,Berechneter Zeitpunkt der Stillegung,1963,Endgültig Stillgelegt 2011,Steinkohle,Nein,,Westfalen,152.0,RWE Generation SE,2008
BNA0415,Berechneter Zeitpunkt der Stillegung,1963,Endgültig Stillgelegt 2011,Steinkohle,Nein,,Westfalen,152.0,RWE Generation SE,2008
BNA0447,Berechneter Zeitpunkt der Stillegung,1963,Endgültig Stillgelegt 2014,Steinkohle,Nein,,KW Herne,133.0,Steag GmbH,2008
BNA0448,Berechneter Zeitpunkt der Stillegung,1957,Endgültig Stillgelegt 2013,Steinkohle,Ja,,Shamrock,132.0,E.ON Kraftwerke GmbH,2002
BNA0638,"Keine Stillegung, da KWK-Betrieb",1966,Endgültig Stillgelegt 2013,Abfall,nein,,HKW Mannheim,2.78,MVV Energie AG,--
BNA0639,"Keine Stillegung, da KWK-Betrieb",1977,Endgültig Stillgelegt 2012,Abfall,Ja,,HKW Mannheim,5.56,MVV Energie AG,--
BNA0680,Berechneter Zeitpunkt der Stillegung,1968,Endgültig Stillgelegt 2013,Braunkohle,Ja,,Mumsdorf,60.0,Mitteldeutsche Braunkohlengesellschaft mbH,2013
BNA0812,Berechneter Zeitpunkt der Stillegung,1965,Endgültig Stillgelegt 2012,Steinkohle,Nein,,Kraftwerk Veltheim,93.0,Gemeinschaftskraftwerk Veltheim GmbH,2010
BNA0913,Berechneter Zeitpunkt der Stillegung,2009,Endgültig Stillgelegt 2012,Erdgas,Nein,GuD,GuD Anlage Spreetal,50.0,Alpiq Spreetal GmbH,2049
BNA0933,Berechneter Zeitpunkt der Stillegung,1973,Endgültig Stillgelegt 2014,Erdgas,Nein,,Heizkraftwerk Stuttgart-Gaisburg,55.0,EnBW Energie Baden-Württemberg AG,2013
BNA1021,Berechneter Zeitpunkt der Stillegung,1955,Endgültig Stillgelegt 2012,Braunkohle,Ja,,Weisweiler,123.0,RWE Power AG,2000
BNA1022,Berechneter Zeitpunkt der Stillegung,1959,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Weisweiler,135.0,RWE Power AG,2004
BNA1035,Berechneter Zeitpunkt der Stillegung,1971,Endgültig Stillgelegt 2014,Steinkohle,nan,,Kraftwerk Werdohl-Elverlingsen,186.0,Mark-E AG,2016
BNA1275,Berechneter Zeitpunkt der Stillegung,2005,Endgültig Stillgelegt 2013,Erdgas,Ja,,Kraftwerk Freudenberg Weinheim,21.0,Freudenberg Service KG,--
BNA1276,Berechneter Zeitpunkt der Stillegung,1982,Endgültig Stillgelegt 2013,Erdgas,Ja,,Kraftwerk Freudenberg Weinheim,21.0,Freudenberg Service KG,--
BNA1337a,Berechneter Zeitpunkt der Stillegung,nan,Endgültig Stillgelegt 2012,Erdgas,ja,,Heizkraftwerk,27.0,DS Smith Paper Deutschland GmbH,--
BNAP002,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Erdgas,Ja,,UPM Schongau,70.0,,--
BNAP044,Berechneter Zeitpunkt der Stillegung,2016,In Planung,Erdgas,Ja,,Energiezentrale 20,17.2,,--
BNAP050a,Berechneter Zeitpunkt der Stillegung,2017,In Planung,Erdgas,Nein,,CCPP Haiming,423.0,,2057
BNAP050b,Berechneter Zeitpunkt der Stillegung,2017,In Planung,Erdgas,Nein,,CCPP Haiming,423.0,,2057
BNAP073,Berechneter Zeitpunkt der Stillegung,2020,In Planung,Erdgas,Ja,,Energiezentrale 20,100.0,,--
BNAP114,,2025,In Planung,Erdgas,nan,,KW Leipheim,600.0,,
BNAP127,Berechneter Zeitpunkt der Stillegung,2030,In Planung,Erdgas,Nein,,KW Schweinfurt,1000.0,,2070
BNAP123,,2016,In Planung,Erdgas,nan,,Kraftwerk Karlstein,300.0,,
BNAP124,,2018,In Planung,Erdgas,nan,,Kraftwerk Gundremmingen GuD,500.0,,
BNAP043,Berechneter Zeitpunkt der Stillegung,2016,In Bau,Erdgas,Ja,,Lichterfelde,300.0,,--
BNAP066,Berechneter Zeitpunkt der Stillegung,2019,In Planung,Erdgas,Ja,,Blockdammweg,300.0,,--
BNAP102,Berechneter Zeitpunkt der Stillegung,2018,In Planung,Erdgas,Nein,,"GuD-KW Havelland,",457.0,,2058
BNAP001,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Erdgas,Nein,,KW Mittelsbüren,445.0,,2054
BNAP023,Berechneter Zeitpunkt der Stillegung,2015,In Bau,Erdgas,Ja,,Lausward,595.0,,--
BNAP028,Berechneter Zeitpunkt der Stillegung,2016,In Bau,Erdgas,Ja,,Niehl IIIa,446.0,,--
BNAP041,Berechneter Zeitpunkt der Stillegung,2016,In Planung,Erdgas,Ja,,GuD Leverkusen,573.0,,--
BNAP051,Berechneter Zeitpunkt der Stillegung,2017,In Planung,Erdgas,Nein,,Bocholt Power,425.0,,2057
BNAP065,Berechneter Zeitpunkt der Stillegung,2019,In Planung,Erdgas,Ja,,Trianel Kraftwerk Krefeld,1160.0,,--
BNAP072,Berechneter Zeitpunkt der Stillegung,2020,In Planung,Erdgas,Ja,,Niehl IIIb,754.0,,--
BNAP125,,2030,In Planung,Erdgas,nan,,GuD-KW Herne,800.0,,
BNAP105,,2015,In Bau,Erdgas,nan,,Kraftwerk IV,60.0,,
BNAP033,Berechneter Zeitpunkt der Stillegung,2019,In Planung,Erdgas,Nein,,KW Weiher,400.0,,2059
BNAP100,Berechneter Zeitpunkt der Stillegung,2020,In Planung,Erdgas,Ja,,Kraftwerk Ensdorf,280.0,,--
BNAP061,Berechneter Zeitpunkt der Stillegung,2018,In Planung,Erdgas,Ja,,Stadtwerke Leipzig,20.0,,--
BNAP070,"Keine Stillegung, da KWK-Betrieb",2019,In Planung,Pumpspeicher,Nein,,PSW Blautal,60.0,,--
BNAP075,"Keine Stillegung, da KWK-Betrieb",2020,In Planung,Pumpspeicher,Nein,,Pumpspeicherwerk,150.0,,--
BNAP090,"Keine Stillegung, da KWK-Betrieb",2025,In Planung,Pumpspeicher,Nein,,Pumpspeicherwerk,700.0,,--
BNAP098a,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,Jochenstein,150.0,,--
BNAP098b,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,Jochenstein,150.0,,--
BNAP082,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Leinetal,55.0,,--
BNAP083,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Leinetal,55.0,,--
BNAP084,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Leinetal,55.0,,--
BNAP085,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Leinetal,55.0,,--
BNAP079a,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Lippe,80.0,,--
BNAP079b,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Lippe,80.0,,--
BNAP079c,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Lippe,80.0,,--
BNAP079d,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Lippe,80.0,,--
BNAP086,"Keine Stillegung, da KWK-Betrieb",2023,In Planung,Pumpspeicher,Nein,,Trianel Wasserspeicher Kraftwerk,390.0,,--
BNAP074,"Keine Stillegung, da KWK-Betrieb",2020,In Planung,Pumpspeicher,Nein,,PSKW RIO,300.0,,--
BNAP052,Berechneter Zeitpunkt der Stillegung,2017,In Planung,Erdgas,Ja,,GuD Industriepark,130.0,,--
BNAP006,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Erdgas,Ja,,HKW Humboldtstr.,10.0,,--
BNAP024,Berechneter Zeitpunkt der Stillegung,2015,In Bau,Erdgas,Ja,,Heizkraftwerk Flensburg,73.0,,--
BNAP042,Berechneter Zeitpunkt der Stillegung,2016,In Planung,Erdgas,Ja,,Gas-HKW Phase 1;,200.0,,--
BNAP060,Berechneter Zeitpunkt der Stillegung,2018,In Planung,Erdgas,Ja,,Wedel,280.0,,--
BNAP078,Berechneter Zeitpunkt der Stillegung,2023,In Planung,Erdgas,Ja,,Gas-HKW Phase 2;,90.0,,--
BNAP101,Berechneter Zeitpunkt der Stillegung,2016,In Planung,Erdgas,Ja,,Gasmotorenheizkraftwerk,200.0,,--
BNAP068,"Keine Stillegung, da KWK-Betrieb",2019,In Planung,Pumpspeicher,Nein,,"Rudolf-Fettweis-Werk ""Oberstufe",220.0,,--
BNAP069,"Keine Stillegung, da KWK-Betrieb",2019,In Planung,Pumpspeicher,Nein,,"Rudolf-Fettweis-Werk ""Oberstufe",50.0,,--
BNAP080,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Zollernalb,320.0,,--
BNAP094a,"Keine Stillegung, da KWK-Betrieb",2030,In Planung,Pumpspeicher,Nein,,Atdorf,700.0,,--
BNAP094b,"Keine Stillegung, da KWK-Betrieb",2030,In Planung,Pumpspeicher,Nein,,Atdorf,700.0,,--
BNAP012,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Steinkohle,Nein,,Moorburg,830.0,,2059
BNAP013,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Steinkohle,Nein,,Moorburg,830.0,,2059
BNAP014,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Steinkohle,Nein,,Wilhelmshaven,731.0,,2059
BNAP029,Berechneter Zeitpunkt der Stillegung,2025,In Bau,Steinkohle,Ja,,Datteln,1055.0,,2070
BNAP046,Berechneter Zeitpunkt der Stillegung,2019,In Planung,Steinkohle,Ja,,KW Herne,735.0,,2064
BNAP062,Berechneter Zeitpunkt der Stillegung,2018,In Planung,Steinkohle,Ja,,KW Lünen,735.0,,2063
BNAP081,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Hainleite,250.0,,--
BNAP089a,"Keine Stillegung, da KWK-Betrieb",2024,In Planung,Pumpspeicher,Nein,,Trianel Wasserspeicher Kraftwerk,265.0,,--
BNAP089b,"Keine Stillegung, da KWK-Betrieb",2024,In Planung,Pumpspeicher,Nein,,Trianel Wasserspeicher Kraftwerk,265.0,,--
BNAP089c,"Keine Stillegung, da KWK-Betrieb",2024,In Planung,Pumpspeicher,Nein,,Trianel Wasserspeicher Kraftwerk,265.0,,--
BNAP089d,"Keine Stillegung, da KWK-Betrieb",2024,In Planung,Pumpspeicher,Nein,,Trianel Wasserspeicher Kraftwerk,265.0,,--
BNAP099a,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Leutenberg,201.0,,--
BNAP099b,"Keine Stillegung, da KWK-Betrieb",2022,In Planung,Pumpspeicher,Nein,,PSW Leutenberg,201.0,,--
BNAP025,Berechneter Zeitpunkt der Stillegung,2015,In Bau,Erdgas,Ja,,HKW,7.5,,--
BNAP053,Berechneter Zeitpunkt der Stillegung,2017,In Planung,Erdgas,Ja,,Gasmotorenheizkraftwerk,50.0,,--
BNAP092a,Berechneter Zeitpunkt der Stillegung,2030,In Planung,Erdgas,Nein,,Rheinhafendampfkraftwerk,233.0,,2070
BNAP092b,Berechneter Zeitpunkt der Stillegung,2030,In Planung,Erdgas,Nein,,Rheinhafendampfkraftwerk,233.0,,2070
BNAP026,Berechneter Zeitpunkt der Stillegung,2015,In Bau,Steinkohle,Ja,,GKM,843.0,,2060
BNAP122,,2016,In Planung,Erdgas,nan,,Kraftwerk Biblis GuD,300.0,,
BNAP005,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Erdgas,Ja,,BHKW Braunschweig,10.2,,--
BNAP097,Berechneter Zeitpunkt der Stillegung,2030,In Planung,Erdgas,Ja,,GuD Oberrhein,1200.0,,--
BNAP007,Berechneter Zeitpunkt der Stillegung,2014,In Bau,Erdgas,Ja,,HKW Hiltrop,10.0,,--
